logger,date.launched,time.launched,date.deployed,site,model,interval,notes
22023412,20240606,08:00,20240607,Westcott,Hobo Tidbit MX Temp 5000,15 min,
22023401,20240606,08:00,20240607,Westcott,Hobo Tidbit MX Temp 5000,15 min,
22023396,20240606,08:00,20240607,Westcott,Hobo Tidbit MX Temp 5000,15 min,
22023405,20240606,08:00,20240607,Westcott,Hobo Tidbit MX Temp 5000,15 min,
22023393,20240606,08:00,20240607,Westcott,Hobo Tidbit MX Temp 5000,15 min,
,,,,,,,
