logger,date.launched,time.launched,date.deployed,site,model,interval,tank,notes
22023395,20240612,13:45,20240612,Point Whitney,Hobo Tidbit MX Temp 5000,15 min,Heath tray - 2024 POGS,inside tray
22023410,20240612,13:45,20240612,Point Whitney,Hobo Tidbit MX Temp 5000,15 min,Outdoor upweller - LCO,attached to bag
22023398,20240612,13:45,20240612,Point Whitney,Hobo Tidbit MX Temp 5000,15 min,Outdoor upweller - Effort C,attached to bag
22023408,20240612,13:45,20240612,Point Whitney,Hobo Tidbit MX Temp 5000,15 min,Outdoor upweller - Efforts BED,attached to bag
22023406,20240612,13:45,20240612,Point Whitney,Hobo Tidbit MX Temp 5000,15 min,Outdoor upweller - Effort F,attached to bag
