 ,Area,Mean,Min,Max,Angle,Length
1,23.710,48.464,1.000,237.102,19.654,85.922
2,14.695,45.771,0.000,126.516,-60.108,53.016
3,12.802,53.513,0.371,208.167,72.320,46.219
4,11.287,48.729,15.921,154.000,-23.962,40.660
5,16.362,74.921,1.626,159.333,0.266,59.174
6,9.696,88.145,2.297,225.289,-89.549,34.955
7,14.695,46.119,3.750,134.000,114.444,53.209
8,11.968,52.187,0.000,194.974,20.513,43.197
9,14.392,46.683,0.367,198.105,59.765,51.925
10,16.513,74.507,0.405,230.022,-19.352,59.800
11,19.240,55.931,0.839,158.661,-132.594,69.539
12,13.938,51.496,1.958,160.157,-47.663,50.265
13,22.195,23.613,0.000,157.000,9.075,80.270
14,12.574,25.617,0.455,123.000,-83.392,45.439
15,13.029,52.371,0.333,244.963,150.130,46.974
16,14.317,50.788,0.342,235.112,50.818,51.840
17,17.953,25.572,0.017,166.333,-13.449,65.087
18,12.953,29.451,0.006,163.333,79.484,46.748
19,16.665,133.982,16.511,255.000,103.719,60.345
20,12.953,127.412,2.580,255.000,13.299,46.664
21,19.165,95.955,2.927,204.243,147.005,69.240
22,9.772,86.067,0.819,175.668,56.434,35.343
23,16.513,39.065,0.350,189.876,27.979,59.838
24,11.059,30.602,0.962,86.904,-62.554,40.007
25,18.710,93.508,0.000,231.569,-2.328,67.762
26,11.287,98.002,7.000,213.333,-90.000,40.734
27,18.710,85.710,2.778,220.491,32.721,67.718
28,13.029,52.876,0.005,218.906,-56.962,46.949
29,18.180,107.320,0.714,205.503,-40.419,65.795
30,10.984,123.364,1.761,227.380,44.718,39.507
31,16.362,115.555,15.160,239.841,29.184,59.266
32,10.908,89.060,8.462,230.823,-64.692,39.274
33,16.438,116.722,6.659,246.432,139.888,59.379
34,13.408,61.608,0.379,187.667,33.419,48.473
35,22.573,58.958,2.667,200.125,5.999,81.639
36,12.499,58.424,4.264,224.165,-73.000,45.185
37,20.149,40.788,0.123,173.399,20.353,72.801
38,11.135,37.985,0.333,165.333,-72.435,40.127
39,17.953,107.251,8.215,245.099,26.456,64.866
40,12.196,120.379,32.840,238.819,-67.132,43.910
41,16.816,119.319,13.424,247.932,31.675,60.800
42,10.756,78.729,14.234,247.520,-64.885,38.907
43,18.331,85.519,1.461,216.792,117.204,66.224
44,15.226,91.932,5.300,224.572,26.053,55.144
45,16.741,37.342,0.333,135.273,18.270,60.576
46,13.029,44.106,1.526,151.524,-66.275,47.200
47,14.014,98.748,3.202,224.294,97.821,50.562
48,11.665,82.975,0.085,220.719,2.993,42.167
49,17.119,70.944,3.210,172.067,77.139,61.826
50,12.499,76.367,0.333,246.114,-3.489,45.221
51,15.150,52.095,0.116,239.235,117.464,54.903
52,9.469,51.502,0.333,236.188,35.484,34.138
53,13.711,109.278,9.007,238.150,128.908,49.517
54,10.378,73.529,3.060,179.667,44.703,37.561
55,19.165,69.367,9.778,194.538,97.745,69.440
56,13.408,45.327,0.101,181.149,12.458,48.480
57,17.574,40.210,5.223,158.000,123.346,63.587
58,11.211,34.124,0.429,101.769,34.448,40.384
59,17.119,66.839,9.178,198.107,66.167,61.982
60,11.135,65.621,2.667,181.333,-16.323,40.150
61,19.240,121.296,3.414,230.023,126.144,69.528
62,11.362,98.742,19.667,235.640,36.254,40.956
63,13.938,57.828,1.011,200.113,63.715,50.342
64,10.908,60.370,0.333,231.183,153.435,39.387
65,17.725,115.230,3.069,222.789,136.915,64.064
66,13.635,123.920,3.863,240.006,43.868,49.247
67,17.271,46.244,1.364,198.189,-18.993,62.581
68,8.938,42.901,0.557,158.667,73.113,32.214
69,12.271,33.032,0.830,83.033,-89.644,44.312
70,14.695,37.997,3.385,119.000,-2.966,53.190
71,14.468,48.080,1.766,148.333,142.707,52.239
72,9.620,63.452,2.327,204.295,32.053,34.746
73,13.862,90.420,4.032,222.429,117.408,50.224
74,11.211,129.819,1.855,233.581,18.189,40.558
75,15.907,95.792,13.210,241.650,168.154,57.649
76,10.453,88.698,9.238,195.645,80.744,37.646
77,16.589,47.723,3.043,136.180,50.026,59.977
78,11.665,39.852,0.792,188.667,144.331,42.009
79,14.998,50.525,0.000,208.928,40.253,54.094
80,10.378,64.895,0.576,172.259,129.644,37.530
81,18.407,103.258,16.799,194.348,23.074,66.713
82,10.832,119.867,26.573,247.088,113.146,39.211
83,15.529,120.668,13.708,251.066,29.082,56.058
84,12.196,111.839,24.653,239.107,-53.631,44.093
85,13.635,104.593,21.393,221.846,85.503,49.142
86,9.393,82.511,13.679,177.039,7.009,33.830
87,14.544,18.523,0.333,91.333,142.230,52.575
88,10.302,103.078,0.426,231.802,30.745,37.147
