 ,Area,Mean,Min,Max,Angle,Length
1,25.985,117.562,35.420,227.205,93.013,101.709
2,14.321,128.001,50.842,231.333,4.439,55.916
3,8.294,87.875,18.827,223.667,90.902,32.333
4,8.554,106.348,38.952,227.064,4.365,33.444
5,22.485,165.152,62.823,225.088,85.855,88.053
6,11.146,137.855,16.427,232.643,2.679,43.577
7,22.874,119.926,20.981,225.615,95.873,89.565
8,16.394,108.729,24.393,235.000,3.406,64.262
9,11.210,108.127,42.791,197.030,72.726,43.719
10,8.294,86.975,15.064,206.935,-17.003,32.209
11,18.727,131.505,40.302,238.457,107.805,73.258
12,13.802,119.060,16.813,204.000,15.871,53.988
13,21.902,116.402,22.193,227.667,24.514,85.892
14,13.284,95.292,5.191,173.017,-74.671,51.998
15,18.079,140.388,33.553,247.574,31.459,70.726
16,13.673,102.913,25.122,199.333,-66.371,53.348
17,22.615,112.922,20.638,204.220,111.771,88.537
18,13.025,129.339,21.528,217.667,31.701,50.864
19,10.044,105.985,32.641,207.797,47.102,39.266
20,12.377,133.973,27.121,242.459,-42.233,48.476
21,18.727,139.745,51.318,236.000,21.137,73.415
22,11.275,142.155,31.143,205.540,-70.413,44.041
23,19.893,120.997,37.529,213.667,42.487,78.015
24,9.979,104.026,21.131,202.170,-41.820,38.940
25,19.181,88.535,24.853,214.244,30.830,75.002
26,11.729,53.002,15.056,224.667,-55.426,45.755
27,10.498,88.756,15.896,194.333,-118.951,41.019
28,11.146,100.434,16.065,187.667,-15.578,43.604
29,20.412,85.369,10.082,252.026,-83.237,79.978
30,11.210,75.303,19.000,226.000,0.000,43.784
31,16.135,85.445,22.230,179.656,-49.248,63.173
32,9.785,112.363,55.133,220.667,41.760,38.221
33,14.061,94.528,19.125,183.033,69.723,55.089
34,11.405,104.717,16.202,196.750,-24.362,44.431
35,13.932,93.299,11.036,224.984,69.788,54.523
36,9.720,81.904,16.871,210.926,-9.273,37.915
37,14.061,128.586,43.204,245.867,16.164,54.862
38,11.210,83.176,20.327,205.986,-72.091,43.873
39,15.163,95.259,29.958,193.640,149.920,59.423
