 ,Area,Mean,Min,Max,Angle,Length
1,17.867,119.739,39.945,252.166,149.397,58.124
2,24.194,130.466,28.199,248.955,63.435,79.125
3,18.425,159.016,32.440,233.239,9.654,60.030
4,21.496,122.489,29.907,236.667,132.357,70.178
5,14.331,67.810,14.394,201.028,61.598,46.817
6,21.868,66.868,19.748,212.470,178.287,71.414
7,21.961,136.699,66.869,211.669,30.379,71.781
8,29.499,140.193,49.206,245.038,148.725,96.367
9,25.683,129.516,51.622,211.165,38.367,84.039
10,21.310,146.183,67.105,241.012,-3.514,69.682
11,18.983,46.947,5.856,127.667,-32.752,62.024
12,24.101,113.121,31.893,222.068,48.772,78.686
13,20.658,123.865,37.701,217.639,27.144,67.533
14,19.262,153.944,42.000,210.874,27.810,62.769
15,21.217,118.360,36.996,208.992,8.094,69.327
16,21.496,68.870,8.128,202.533,-5.240,70.150
17,22.054,88.443,8.509,232.127,-46.029,72.056
18,14.144,61.971,15.901,187.812,94.167,46.185
19,21.682,69.830,9.758,150.659,132.207,70.835
20,19.635,119.995,21.010,252.067,89.182,64.067
21,23.636,74.997,21.774,162.030,-15.354,77.187
22,23.915,102.486,29.617,231.059,135.633,78.089
23,20.472,136.862,43.131,248.032,53.549,66.747
24,22.519,110.436,5.340,243.874,141.229,73.557
25,18.983,99.071,36.236,234.831,91.129,61.937
26,13.028,175.655,62.654,233.990,-34.148,42.389
27,15.819,95.029,31.603,179.642,-21.864,51.605
28,17.867,86.406,16.164,213.296,167.276,58.168
29,14.703,121.811,2.227,252.432,69.487,47.878
30,20.937,58.218,4.696,160.333,122.060,68.389
31,17.308,160.933,50.752,249.533,13.736,56.526
32,20.937,131.062,43.729,232.521,1.790,68.365
33,13.214,125.093,44.336,228.760,24.747,42.995
34,18.890,137.068,37.492,250.759,88.299,61.647
35,19.914,82.217,3.844,235.025,77.792,64.918
36,17.215,125.230,58.441,224.869,-5.307,56.064
37,26.056,70.200,18.730,246.857,100.342,84.964
38,18.239,85.880,11.819,192.000,5.886,59.493
39,20.751,61.781,10.645,191.878,16.724,67.845
40,14.424,116.132,41.980,198.727,36.573,47.100
41,13.586,152.234,6.264,250.402,-3.158,44.299
42,14.610,145.191,31.321,246.932,-43.704,47.683
43,12.656,73.200,14.745,173.386,51.938,41.069
44,18.518,124.431,56.023,246.025,-9.891,60.382
45,20.379,94.023,25.102,229.294,-18.185,66.465
46,19.169,88.289,27.866,228.353,127.875,62.606
47,27.451,66.071,10.756,194.472,44.174,89.742
48,21.031,111.610,39.882,215.235,58.643,68.587
49,24.753,126.506,34.000,225.858,-13.774,80.719
50,16.471,152.421,82.135,218.399,54.500,53.582
51,16.285,81.307,23.712,165.449,102.921,53.206
52,27.172,50.311,3.136,171.107,16.134,88.916
53,24.474,96.603,18.487,232.807,27.738,79.960
54,17.587,87.536,13.770,204.560,6.407,57.403
55,18.704,62.207,11.094,194.667,100.637,61.146
56,22.333,65.129,7.374,149.080,83.766,73.034
57,20.658,157.696,39.000,243.324,87.151,67.499
58,17.867,97.268,18.640,226.322,62.227,58.265
59,25.497,98.451,13.222,239.446,4.205,83.198
60,14.796,100.720,27.333,220.274,121.275,48.183
61,14.517,137.289,30.909,248.739,26.896,47.203
62,24.381,170.324,71.582,253.459,-22.249,79.760
63,18.983,133.484,51.570,222.483,83.784,61.984
64,20.658,92.554,16.382,207.333,4.160,67.288
65,23.543,98.942,19.833,219.214,89.318,76.878
66,17.029,96.856,30.016,211.059,61.037,55.436
67,20.565,49.014,6.491,219.472,125.932,67.059
68,17.587,152.619,51.585,244.334,77.735,57.440
69,18.425,133.606,35.529,235.368,127.161,60.096
70,21.961,87.949,24.506,210.000,51.226,71.604
71,20.100,135.545,35.813,244.665,-41.412,65.486
72,20.658,148.868,63.800,238.829,16.302,67.379
73,21.496,85.698,6.987,248.475,-18.277,70.034
74,19.914,169.580,14.372,242.036,14.428,64.887
75,15.912,153.121,35.034,252.480,-25.058,51.858
76,17.587,117.643,17.635,245.938,26.837,57.434
77,22.612,36.492,4.860,179.027,164.932,73.923
78,20.379,65.349,15.289,194.000,85.258,66.423
79,13.214,151.299,49.098,251.718,-16.894,43.039
80,16.564,141.767,18.330,253.120,142.806,53.995
81,13.028,119.094,25.644,251.296,55.279,42.310
82,20.100,84.249,18.845,190.260,117.162,65.486
83,19.169,64.680,22.232,161.401,71.211,62.511
84,18.611,155.958,54.871,210.580,-1.727,60.732
85,18.239,67.940,5.462,190.779,92.643,59.548
86,16.843,59.838,22.159,157.958,135.225,55.005
87,19.262,155.194,68.306,251.095,35.538,62.979
88,13.958,116.834,20.217,253.303,-11.234,45.407
89,17.774,118.799,18.281,223.605,73.764,57.825
90,28.568,46.939,9.523,142.667,-22.706,93.251
91,20.100,125.223,29.125,252.316,59.859,65.611
92,27.731,83.199,2.537,218.387,-14.832,90.567
93,18.983,87.999,7.472,239.917,28.205,61.961
94,29.778,134.025,49.503,226.866,7.214,97.165
95,14.517,87.835,30.421,207.437,-28.875,47.377
