logger,date.launched,time.launched,date.deployed,site,model,interval,oyster_bag,tag_20250825
22023394,20240606,09:00,20240624,Goose Point,Hobo Tidbit MX Temp 5000,15 min,97,360
22023397,20240606,09:00,20240624,Goose Point,Hobo Tidbit MX Temp 5000,15 min,96,359
22023403,20240606,09:00,20240624,Goose Point,Hobo Tidbit MX Temp 5000,15 min,94,361
22023400,20240606,09:00,20240624,Goose Point,Hobo Tidbit MX Temp 5000,15 min,85,321
